poema_id,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
23,0.5796186923980713,0.5266298651695251,0.8381277322769165,0.7346377968788147,0.8093096017837524,0.8030605912208557,0.8520916104316711,0.8484184741973877,0.8516671657562256,0.8483405709266663,0.9311084151268004
24,0.6192917227745056,0.5668484568595886,0.8044860363006592,0.8205142021179199,0.7877315282821655,0.7917970418930054,0.8613520860671997,0.8234047293663025,0.8351561427116394,0.8247965574264526,0.8150729537010193
25,0.5658579468727112,0.5455430746078491,0.799507737159729,0.7578907012939453,0.7909847497940063,0.7377489805221558,0.8281994462013245,0.810295045375824,0.8025984764099121,0.8061949610710144,0.9246419668197632
26,0.5906272530555725,0.4866526424884796,0.8746904730796814,0.834100604057312,0.7743349075317383,0.8064858913421631,0.827536404132843,0.8276158571243286,0.9004960656166077,0.8262750506401062,0.9096839427947998
27,0.5678809881210327,0.5663782954216003,0.8058038949966431,0.7886837124824524,0.7775253653526306,0.7847488522529602,0.821082353591919,0.821876585483551,0.8120341300964355,0.8157377243041992,0.8207259774208069
28,0.6089949607849121,0.6098361015319824,0.7900195121765137,0.7401189804077148,0.7874518036842346,0.7357839345932007,0.814519464969635,0.7845776081085205,0.7743542790412903,0.8033118844032288,0.8167018890380859
29,0.5954428315162659,0.5687425136566162,0.7544743418693542,0.7911679744720459,0.775505006313324,0.7994425296783447,0.7771673798561096,0.7439467906951904,0.7464360594749451,0.7537453770637512,0.942805290222168
30,0.5560468435287476,0.527708888053894,0.8349417448043823,0.7440411448478699,0.8010557889938354,0.7450503706932068,0.8610358834266663,0.8446961641311646,0.8700014352798462,0.8423736691474915,0.9551854729652404
31,0.5622050166130066,0.5278010368347168,0.8438064455986023,0.8141302466392517,0.8274980783462524,0.8148359060287476,0.8863576054573059,0.8437727689743042,0.8522273302078247,0.8601431250572205,0.868329644203186
32,0.5610705614089966,,0.6999537348747253,,0.7284719944000244,,0.7489627599716187,0.7641602754592896,0.740800678730011,0.7628920078277588,0.7401956915855408
33,0.5615881085395813,,0.7429507374763489,,0.7154294848442078,,0.7517808675765991,0.7541891932487488,0.753372848033905,0.7531511187553406,0.7498944401741028
34,0.5281175374984741,,0.7399154901504517,,0.727266252040863,,0.77205890417099,0.747101902961731,0.741563618183136,0.7605013847351074,0.748298704624176
35,0.5545635223388672,,0.7423654198646545,,0.7371547818183899,,0.7682064175605774,0.7609490752220154,0.7651380300521851,0.7586084008216858,0.7590358853340149
36,0.5465934872627258,,0.7275232672691345,,0.7293916940689087,,0.7517644166946411,0.7606663107872009,0.7561826109886169,0.7679624557495117,0.7698808312416077
37,0.5697735548019409,,0.7495212554931641,,0.7546790838241577,,0.7569186091423035,0.7894008159637451,0.7885109782218933,0.7509921193122864,0.7446808815002441
38,0.5703248977661133,,0.8369500637054443,,0.8235611319541931,,0.8676680326461792,0.8705688714981079,0.8697625398635864,0.8736501336097717,0.8751823306083679
39,0.5736956596374512,,0.7860597372055054,,0.768494188785553,,0.7227208614349365,0.8030216693878174,0.8063833713531494,0.8043444156646729,0.8216345310211182
40,0.5917220115661621,,0.7947396039962769,,0.799980103969574,,0.8524959683418274,0.8295134902000427,0.8342860341072083,0.836645781993866,0.8380942940711975
41,0.5909706950187683,,0.7778773307800293,,0.7832234501838684,,0.8035094738006592,0.8114452958106995,0.8064916133880615,0.8210159540176392,0.8283098936080933
42,0.5905244946479797,,0.7482813000679016,,0.7579758167266846,,0.7067691087722778,0.7590981125831604,0.757855236530304,0.7566302418708801,0.8115156292915344
43,0.616584062576294,,0.8109960556030273,,0.8218495845794678,,0.7491286396980286,0.8458841443061829,0.832736074924469,0.8427545428276062,0.918752372264862
44,0.549050509929657,,0.7465664744377136,,0.7384230494499207,,0.7878237366676331,0.7481868267059326,0.7338658571243286,0.7796019911766052,0.7496355772018433
45,0.5533372759819031,,0.7086545825004578,,0.711275041103363,,0.7295185923576355,0.6991049647331238,0.7013971209526062,0.7034296989440918,0.8842869400978088
46,0.5578852891921997,,0.7752154469490051,,0.7471274137496948,,0.7952393293380737,0.7896702289581299,0.7917419672012329,0.8204129934310913,0.7951064705848694
47,0.577814519405365,,0.7794256210327148,,0.7811170816421509,,0.7960942387580872,0.7781844735145569,0.7765870690345764,0.7951247692108154,0.9592190384864808
48,0.6018663048744202,,0.7999846339225769,,0.8004332780838013,,0.8381687998771667,0.8305473327636719,0.8326852321624756,0.822517454624176,0.8227468132972717
49,0.5375434160232544,,0.7498119473457336,,0.7432385683059692,,0.7712896466255188,0.7731829881668091,0.7810036540031433,0.7714781761169434,0.7790387272834778
50,0.5901147723197937,,0.8454909920692444,,0.8301205039024353,,0.8838335275650024,0.8832314610481262,0.8793472051620483,0.8668549060821533,0.8728380799293518
51,0.5253269076347351,,0.8018526434898376,,0.7877323627471924,,0.829059362411499,0.8312711715698242,0.7964234352111816,0.8374825716018677,0.8641737699508667
52,0.5676204562187195,,0.802405834197998,,0.8221695423126221,,0.8566807508468628,0.8712656497955322,0.8645679950714111,0.8538729548454285,0.9054361581802368
53,0.5408800840377808,,0.8101711273193359,,0.7845713496208191,,0.8436448574066162,0.8368068337440491,0.825853168964386,0.7998793721199036,0.9539729356765748
54,0.5721801519393921,,0.8274896144866943,,0.7470699548721313,,0.8481135964393616,0.8432703614234924,0.8517102003097534,0.8341067433357239,0.8441943526268005
55,0.5896372199058533,,0.7841338515281677,,0.7869789004325867,,0.8166784644126892,0.8089083433151245,0.8066153526306152,0.7637604475021362,0.8956732153892517
56,0.5545121431350708,,0.7719605565071106,,0.7569091320037842,,0.8181443214416504,0.7960712909698486,0.7872893810272217,0.796343207359314,0.929921329021454
57,0.5788680911064148,,0.8319033980369568,,0.8069981336593628,,0.855584979057312,0.8513371348381042,0.8541569709777832,0.8317503333091736,0.8420841097831726
58,0.5903692841529846,,0.8381256461143494,,0.8089614510536194,,0.8633583188056946,0.8598134517669678,0.8499097228050232,0.8121040463447571,0.849049985408783
59,0.6071628332138062,,0.8289873600006104,,0.788134753704071,,0.8584800362586975,0.8517453074455261,0.8749189376831055,0.8258391618728638,0.8140201568603516
60,0.6048383712768555,,0.8301771879196167,,0.8291457891464233,,0.8549750447273254,0.8618898987770081,0.848804771900177,0.8506811857223511,0.9729655385017396
61,0.5620644092559814,,0.8130515217781067,,0.7853119373321533,,0.8500537872314453,0.8389772176742554,0.7686315774917603,0.8266871571540833,0.8274427056312561
62,0.5687907338142395,,0.7910052537918091,,0.8218165636062622,,0.857757031917572,0.8474106192588806,0.860715389251709,0.8578827977180481,0.8270468711853027
63,0.5878224968910217,,0.8085816502571106,,0.8055456280708313,,0.8483445048332214,0.8210378885269165,0.8244064450263977,0.8304250240325928,0.8124245405197144
64,0.562194287776947,,0.8215294480323792,,0.795148491859436,,0.850121021270752,0.8632895350456238,0.8585596084594727,0.8450409173965454,0.8330535888671875
65,0.625119686126709,,0.8934301137924194,,0.8601577877998352,,0.944866418838501,0.9277664422988892,0.9088590741157532,0.9308664202690125,0.8955655097961426
66,0.6052999496459961,,0.793718695640564,,0.8064398169517517,,0.8143007159233093,0.7988053560256958,0.804969310760498,0.8201871514320374,0.8145241737365723
